서울시 자치구별 쓰레기 발생 구조 진단 데이터 레이아웃,,,
==============================================================,,,
,,,
[1] gu / gu_out 자치구별 통합 데이터 (25개 자치구),,,
,,,
name,type,변수설명,length
n,C,자치구명 (예: 강남구),5
lat,N,위도 (WGS84 기준),7
lng,N,경도 (WGS84 기준),7
daily,N,일평균 생활폐기물 발생량 (톤/일) - 2024년 기준,6
pop,N,주민등록 인구수 (명) - 2024년 기준,7
perCap,N,1인당 1일 배출량 (kg/인·일) - 2024년 기준,4
recycle,N,재활용률 (%) - 2024년 기준,4
food,N,음식물 폐기물 비중 (%) - 발생량 대비,4
inc,N,소각 비중 (%) - 발생량 대비,4
land,N,매립 비중 (%) - 발생량 대비,3
homeProp,N,음식물 중 가정 발생 비중 (%) - 2023년 기준,4
bizProp,N,음식물 중 사업장 발생 비중 (%) - 2023년 기준,4
livingPop,N,생활인구 (만명) - ※ 현재 더미값 사용 중,4
card,N,카드소비액 (억원) - ※ 현재 더미값 사용 중,4
delivery,N,택배 물동량 (만건) - ※ 현재 더미값 사용 중,3
growth,N,연간 발생량 증가율 (%/년) - ※ 현재 더미값 사용 중,4
cluster,N,KMeans 클러스터 라벨 (0~4),1
,,,
type 표기: C=문자형(Character) / N=숫자형(Numeric),,,
,,,
==============================================================,,,
,,,
[2] recycle_industry 자치구별 폐기물 종류 비중 (25개 자치구),,,
,,,
name,type,변수설명,length
district,C,자치구명,5
life_gen,N,생활계 폐기물 발생량 (톤/년) - 2024년,8
industry_gen,N,사업장배출시설계 폐기물 발생량 (톤/년) - 2024년,8
construction_gen,N,건설 폐기물 발생량 (톤/년) - 2024년,8
designated_gen,N,지정 폐기물 발생량 (톤/년) - 2024년,6
total,N,총 폐기물 발생량 (톤/년) - 4종 합계,8
life_pct,N,생활계 비중 (%) - 총 발생량 대비,4
industry_pct,N,사업장 비중 (%) - 총 발생량 대비,4
construction_pct,N,건설 비중 (%) - 총 발생량 대비,4
designated_pct,N,지정 비중 (%) - 총 발생량 대비,3
,,,
==============================================================,,,
,,,
[3] 데이터 출처,,,
,,,
원본파일,설명,연도,비고
주민+1인당+생활계폐기물(쓰레기)+배출량.csv,1인당 배출량·주민수·총배출량,2021~2024,서울 열린데이터광장
생활계폐기물+발생량+및+처리현황(2020년+이후).csv,처리방법별 비율 (재활용·소각·매립),2021~2024,서울 열린데이터광장
음식물류+폐기물+발생원별+발생량.csv,음식물 가정/사업장 발생량,2021~2023,서울 열린데이터광장
폐기물+재활용+현황(2020년+이후).csv,폐기물 종류별(생활/사업장/건설/지정),2021~2024,서울 열린데이터광장
쓰레기수거+현황(2020년+이후).csv,수거 면적·인구·처리량,2021~2024,참고용 (대시보드 미사용)
